,ÇÃ.ê⁄ë±èïéå.,Ç.äièïéå.,ÇÕ.ïõèïéå.,Ç….äièïéå.,Ç∆.äièïéå.,Ç™.äièïéå.,Ç‡.ïõèïéå.,ÇÃ.äièïéå.,Ç÷.äièïéå.,Ç©.ê⁄ë±èïéå.,Ç™.ê⁄ë±èïéå.,Ç»Ç™ÇÁ.ê⁄ë±èïéå.,Ç≈.äièïéå.,Ç©ÇÁ.äièïéå.,Ç‚.ê⁄ë±èïéå.,Ç≈Ç‡.ïõèïéå.,Ç….ê⁄ë±èïéå.,Ç©ÇÁ.ê⁄ë±èïéå.,ÇæÇØ.ïõèïéå.,ÇÊÇË.äièïéå.,Ç‹Ç‹.ê⁄ë±èïéå.,Ç‹ÇΩ.ê⁄ë±èïéå.,ÇŒÇ©ÇË.ïõèïéå.,Ç≥Ç¶.ïõèïéå.,ñî.ê⁄ë±èïéå.,Ç¡Çƒ.ïõèïéå.,Ç‹Ç≈.äièïéå.,Ç»Ç«.ïõèïéå.,Ç»ÇË.ê⁄ë±èïéå.,Ç©Ç‡.ê⁄ë±èïéå.,ÇæÇÃ.ê⁄ë±èïéå.,Ç∆.ê⁄ë±èïéå.,Ç©.èIèïéå.,ÇÊÇË.ê⁄ë±èïéå.,ÇµÇ©.ïõèïéå.,Ç‹Ç≈.ê⁄ë±èïéå.,ÇÃÇ›.ïõèïéå.,Ç»ÇÁ.ïõèïéå.,Ç‚ÇÁ.ê⁄ë±èïéå.,OTHERS,y
T07-06,0.190082645,0.19651056,0.106519743,0.180899908,0.087235996,0.084481175,0.022956841,0.017447199,0.013774105,0.022038567,0.004591368,0,0.003673095,0.002754821,0.006427916,0,0.009182736,0,0,0.009182736,0,0,0,0,0.004591368,0,0,0,0.015610652,0,0,0.002754821,0,0,0.001836547,0,0.003673095,0,0,0.013774105,1918
T07-08,0.189189189,0.174636175,0.0997921,0.153846154,0.112266112,0.03950104,0.037422037,0.018711019,0,0.01039501,0.01039501,0.002079002,0.006237006,0.006237006,0.008316008,0,0.008316008,0.004158004,0,0.008316008,0,0.01039501,0,0,0,0.004158004,0,0.004158004,0.027027027,0,0,0,0.002079002,0,0,0,0.006237006,0,0,0.056133056,1918
T07-08b,0.181058496,0.121866295,0.126740947,0.128830084,0.086350975,0.057103064,0.07729805,0.020891365,0.026462396,0.018802228,0.011142061,0.008356546,0.039693593,0.009749304,0.027855153,0.000696379,0.003481894,0.000696379,0.000696379,0.006267409,0.000696379,0,0.006267409,0,0.002785515,0,0.003481894,0.002785515,0.001392758,0,0,0.000696379,0,0.001392758,0,0.000696379,0.003481894,0,0.002089136,0.020194986,1918
T07-09,0.186282151,0.14497272,0.11847233,0.155884645,0.087295401,0.051441933,0.055339049,0.043647701,0.013250195,0.009353079,0.019485581,0.015588465,0.016367888,0.016367888,0.00233827,0.004676539,0.003897116,0.00233827,0.000779423,0.00233827,0,0,0.004676539,0.007014809,0.012470772,0.007014809,0.003897116,0.001558846,0,0.001558846,0,0.00233827,0.004676539,0,0,0.000779423,0,0,0.00233827,0.001558846,1918
T07-12,0.179319981,0.132277597,0.11597578,0.107591989,0.108523521,0.079646018,0.049371216,0.023288309,0.033535165,0.014438752,0.01583605,0.014438752,0.036329762,0.015370284,0.014904518,0.00605496,0.003726129,0.006520727,0.005589194,0.005123428,0,0,0.004191896,0,0.006520727,0,0.003260363,0.001863065,0.001397299,0.000465766,0,0.001397299,0,0.000465766,0.002794597,0.000465766,0.000931532,0.001397299,0,0.006986493,1918
T07-12b,0.170731707,0.154471545,0.106852497,0.112078978,0.104529617,0.066782811,0.042973287,0.029036005,0.022648084,0.022648084,0.015679443,0.026132404,0.028455285,0.019163763,0.00174216,0.008130081,0.0029036,0.008130081,0.00232288,0.004645761,0.0029036,0.006968641,0.005226481,0.006387921,0,0.005807201,0.003484321,0.003484321,0,0.00116144,0,0.003484321,0.00174216,0,0.00116144,0.00174216,0,0,0,0.006387921,1918
T07-12c,0.173302108,0.128805621,0.108899297,0.108899297,0.135831382,0.06440281,0.028103044,0.024590164,0.039812646,0.017564403,0.019906323,0.036299766,0.021077283,0.024590164,0.005854801,0.00234192,0.00117096,0.014051522,0.00117096,0.00234192,0.004683841,0,0,0.00234192,0.007025761,0.004683841,0.005854801,0.00234192,0,0,0.004683841,0.00117096,0,0,0.003512881,0.00117096,0,0,0,0.003512881,1918
T08-01,0.240506329,0.139240506,0.10443038,0.129746835,0.069620253,0.066455696,0.028481013,0.028481013,0.022151899,0.015822785,0.022151899,0.025316456,0.053797468,0.015822785,0.006329114,0,0.003164557,0.003164557,0,0.003164557,0,0,0,0.003164557,0.006329114,0,0,0,0,0,0,0.003164557,0,0,0,0,0.003164557,0,0,0.006329114,1919
T08-04,0.168808411,0.134929907,0.113901869,0.126168224,0.112733645,0.0625,0.067172897,0.025116822,0.031542056,0.014018692,0.010514019,0.019859813,0.025700935,0.007593458,0.028621495,0.001168224,0.007009346,0.001168224,0.000584112,0.005841121,0,0,0.005841121,0,0.004672897,0,0.001752336,0.001752336,0,0.000584112,0.000584112,0.000584112,0.001168224,0,0.000584112,0.001168224,0,0.000584112,0.004088785,0.011682243,1919
T08-04b,0.191860465,0.156976744,0.098837209,0.125968992,0.104651163,0.083333333,0.032945736,0.042635659,0.034883721,0.015503876,0.011627907,0.01744186,0.007751938,0.027131783,0.005813953,0.003875969,0.001937984,0,0,0.001937984,0.001937984,0,0.005813953,0.007751938,0.007751938,0.003875969,0.001937984,0,0,0,0,0.001937984,0,0,0.001937984,0,0,0,0,0.001937984,1919
